,13/9-15/9,14/9-16/9,27/9-29/9,28/9-30/9,4/10-6/10,5/10-7/10
MER 51,$46,$46,,,,
MER 17,,,$50,$50,$50,
MER 30,,,$46,$46,$46,$46
MER 40,,,$46,$46,$46,$46
MER 9,,,,,$50,$50
MER 11,,,,,$50,$50
MER 15,,,,,$50,
MER 16,,,,,$50,
MER 6A,,,,,$50,$50
MER E,,,,,$50,
MER 41,,,,,$46,$46
MER 42,,,,,$46,$46
MER 43,,,,,$46,$46
